fs,short_name,name,rfc_date,first_idea_date,merged_date,merged_version,merged_sha,rfc_to_merge_years,first_idea_to_merge_years,lsfmm_years,suse_first_release,suse_first_date,suse_enabled_default,rhel_first_release,rhel_first_date,rhel_enabled_default,merge_to_suse_years,merge_to_rhel_years,merge_to_enterprise_years,rfc_to_enterprise_years,mm_impact,fixes_count,fixes_last_date,fixes_window_years,rfc_url,notes
btrfs,btrfs_compress_lzo,LZO compression,2010-10-08,,2010-12-22,v2.6.38-rc1,a6fa6fae40ec,0.21,,2010,SLE 11 SP3,2013-07-02,False,,,,2.53,,2.53,2.73,none,0,,,https://lore.kernel.org/linux-btrfs/1286606155-9117-1-git-send-email-lli_nca@163.com/,Authored by Li Zefan (Fujitsu). Merged v2.6.38.
btrfs,btrfs_mixed_groups,Mixed block groups,2010-09-22,,2010-10-29,v2.6.37-rc1,67377734fd24,0.1,,,SLE 11 SP3,2013-07-02,False,,,,2.67,,2.67,2.78,none,0,,,https://lore.kernel.org/linux-btrfs/AANLkTi=ApRgi6OYHJ3OuLqsq-7tcKbWk0bjkkqypxR8u@mail.gmail.com/,Merged v2.6.37.
btrfs,btrfs_qgroups,Quotas / qgroups,2011-09-14,,2012-07-12,v3.6-rc1,bed92eae26cc,0.83,,2011;2012,SLE 12,2014-10-27,True,,,,2.29,,2.29,3.12,none,2,2023-06-19,10.93,https://lore.kernel.org/linux-btrfs/1315996902-19420-1-git-send-email-arne.jansen@gmx.net/,Authored by Arne Jansen. Merged v3.6.
btrfs,btrfs_send_receive,Send / receive,2012-04-12,,2012-07-25,v3.6-rc1,31db9f7c23fb,0.28,,2012;2013,SLE 12,2014-10-27,True,,,,2.26,,2.26,2.54,none,1,2023-11-24,11.33,https://lore.kernel.org/linux-btrfs/1334260411-7321-1-git-send-email-asj@strato.de/,Authored by Alexander Block (STRATO). Merged v3.6.
btrfs,btrfs_extended_iref,Extended iref / hardlinks,2012-06-13,,2012-10-09,v3.7-rc1,f186373fef00,0.32,,,SLE 12,2014-10-27,True,,,,2.05,,2.05,2.37,none,2,2025-07-22,12.78,https://lore.kernel.org/linux-btrfs/1339614884-22641-1-git-send-email-mfasheh@suse.com/,Authored by Mark Fasheh (SUSE). Merged v3.7.
btrfs,btrfs_raid56,RAID 5/6,2011-12-15,,2013-02-01,v3.9-rc1,4ae10b3a133e,1.13,,2012;2013;2014;2015;2018;2019;2020;2022;2023,,,,,,,,,,,none,0,,,https://lore.kernel.org/linux-btrfs/1323959478-15066-1-git-send-email-dmonakhov@openvz.org/,Authored by Chris Mason and David Woodhouse. Merged v3.9 but never declared stable; write-hole and parity-corruption issues persist.
btrfs,btrfs_no_holes,No-holes,2014-08-19,,2015-07-11,v4.2-rc3,c1aa45759e90,0.89,,,SLE 15,2018-07-16,True,,,,3.01,,3.01,3.91,none,0,,,https://lore.kernel.org/linux-btrfs/1408455614-31530-1-git-send-email-fdmanana@suse.com/,Authored by Filipe Manana (SUSE). Merged v4.2.
btrfs,btrfs_free_space_tree,Free space tree (space_cache=v2),2015-09-23,,2015-12-17,v4.5-rc1,208acb8c72d7,0.23,,2015;2016,SLE 15 SP2,2020-07-21,True,,,,4.59,,4.59,4.83,none,0,,,https://lore.kernel.org/linux-btrfs/1442984729-13030-1-git-send-email-osandov@osandov.com/,Authored by Omar Sandoval (Facebook). Merged v4.5.
btrfs,btrfs_compress_zstd,zstd compression,2017-04-12,,2017-08-15,v4.14-rc1,5c1aab1dd544,0.34,,2017,SLE 15,2018-07-16,False,,,,0.92,,0.92,1.26,none,3,2019-04-04,1.63,https://lore.kernel.org/linux-btrfs/20170412220041.GA15991@nick-pc/,Authored by Nick Terrell (Facebook). Merged v4.14.
btrfs,btrfs_raid1c34,RAID1c3 / RAID1c4,2019-09-13,,2019-11-18,v5.5-rc1,47e6f7423b91,0.18,,,SLE 15 SP3,2021-06-22,False,,,,1.59,,1.59,1.77,none,2,2023-06-19,3.58,https://lore.kernel.org/linux-btrfs/cover.1568395858.git.dsterba@suse.com/,Authored by David Sterba (SUSE). Merged v5.5.
